Location Label,Latitude,Longitude,Contributer,Notes
SaffordAZ,32.8355,-109.7073,IT,
GlobeAZ,33.3960,-110.7849,IT,
PhoenixAZ,33.4510,-112.0730,IT,
KingmanAZ,35.1983,-114.0528,IT,
LasVegasNV,36.1752,-115.1383,IT,
BarstowCA,34.9015,-117.0144,IT,
RiversideCA,33.9826,-117.3743,IT,
HersheyPA,40.2859,-76.6502,IT,
UrbanaIL,40.1106,-88.2111,IT,
ChampaignIL,40.1164,-88.2434,IT,
MadisonWI,43.0722,-89.4008,IT,
CookevilleTN,36.1628,-85.5016,IT,
ColumbiaSC,34.0007,-81.0348,IT,
BirminghamAL,33.5186,-86.8104,IT,
EvansvilleIN,37.9716,-87.5711,IT,
SpringfieldTN,36.5092,-86.8850,IT,
AthensAL,34.8029,-86.9717,IT,
GadsenAL,34.0101,-86.0104,IT,
ShilohTN,35.1154,-88.3617,IT,
MetropolisIL,37.1512,-88.7320,IT,
GuntersvilleAL,34.3581,-86.2947,IT,
MurfreesboroTN,35.8461,-86.3903,IT,
ClarksvilleTN,36.5298,-87.3595,IT,
FortWayneIN,41.0793,-85.1394,IT,
DetroitMI,42.3313,-83.0443,IT,
AnnArborMI,42.2814,-83.7509,IT,
ToledoOH,41.6550,-83.5304,IT,
TuscaloosaAL,33.2098,-87.5692,IT,
ColumbusMS,33.4957,-88.4273,IT,
AtlantaGA,33.7488,-84.3863,IT,
HuntsvilleAL,34.7304,-86.5861,IT,
AthensGA,33.9519,-83.3576,IT,
MontroseGA,32.5617,-83.1531,IT,
SavannahGA,32.0762,-81.0884,IT,
JacksonvilleFL,30.3322,-81.6557,IT,
OrlandoFL,28.5384,-81.3789,IT,
WestPalmBeachFL,26.7153,-80.0534,IT,
MiamiFL,25.7617,-80.1918,IT,
FortMyersFL,26.6406,-81.8723,IT,
TampaFL,27.9642,-82.4526,IT,
GainesvilleFL,29.6516,-82.3248,IT,
TallahasseeFL,30.4382,-84.2806,IT,
MaconGA,32.8407,-83.6347,IT,
BloomingtonIN,39.1688,-86.5367,IT,
ManchesterTN,35.4817,-86.0886,IT,
KingsBayFL,25.6373,-80.3012,IT,
MartinTN,36.3434,-88.8503,IT,
CrestviewFL,30.7542,-86.5728,IT,
BlountstownFL,30.4435,-85.0452,IT,
PensacolaFL,30.4213,-87.2169,IT,
KnoxvilleTN,35.9606,-83.9207,IT,
ChattanoogaTN,35.0456,-85.3097,IT,
LynchburgTN,35.2831,-86.3742,IT,edges still missing
McMinnvilleTN,35.6805,-85.7746,IT,
MontgomeryAL,32.3792,-86.3077,IT,
MobileAL,30.6954,-88.0399,IT,
DothanAL,31.2243,-85.3911,IT,
PanamaCityFL,30.1588,-85.6602,IT,
AshlandCityTN,36.2742,-87.0642,IT,
WhiteBluffTN,36.1076,-87.2208,IT,
FranklinTN,35.9251,-86.8689,IT,
CampbellsvilleKY,37.3434,-85.3419,IT,
SomersetKY,37.0920,-84.6041,IT,
GlasgowKY,36.9959,-85.9119,IT,
LittleRockAR,34.7445,-92.2880,IT,
NewBostonTX,33.4598,-94.4155,IT,
DallasTX,32.7767,-96.7970,IT,
StLouisMO,38.6269,-90.1994,IT,
ColumbiaMO,38.9517,-92.3339,IT,
KansasCityMO,39.0997,-94.5783,IT,
OmahaNE,41.2565,-95.9338,IT,
SiouxFallsSD,43.5419,-96.7326,IT,
VivianSD,43.9274,-100.2910,IT,
SturgisSD,44.4068,-103.5140,IT,
LameDeerMT,45.6241,-106.6680,IT,
BigTimberMT,45.8375,-109.9560,IT,
DeerLodgeMT,46.3981,-112.7380,IT,
MullanID,47.4718,-115.8180,IT,
MosesLakeWA,47.1271,-119.2820,IT,
SeattleWA,47.6061,-122.3480,IT,
ElizabethtownKY,37.7031,-85.8780,IT,
IrvineCA,33.6846,-117.8231,IT,
SantaBarbraCA,34.4208,-119.6982,IT,
SanFranciscoCA,37.7749,-122.4194,IT,
AugustaGA,33.4751,-82.0104,IT,
CharlotteNC,35.2271,-80.8431,IT,
RaleighNC,35.7796,-78.6382,IT,
AmarilloTX,35.2220,-101.8453,IT,
DoraNM,33.9387,-103.3366,IT,
HarrisonburgVA,38.4496,-78.8679,IT,
KennesawGA,34.0234,-84.6155,IT,
DuluthGA,34.0029,-84.1446,IT,
OakRidgeTN,36.0104,-84.2696,IT,
FayettevilleTN,35.1520,-86.5705,IT,
AustinTX,30.2672,-97.7431,IT,
ArtesiaWellsTX,28.2813,-99.2858,IT,
MonterreyNLMexico,25.6866,-100.3161,IT,
BaltimoreMD,39.2904,-76.6122,IT,
BlacksburgVA,37.2296,-80.4139,IT,
BristolTN,36.5951,-82.1887,IT,
YumaAZ,32.6927,-114.6277,IT,
