edgeLabel,locationA,locationB,actualDistance,Contributer,Notes
CincinnatiOH_tofrom_ToledoOH,CincinnatiOH,ToledoOH,179,IT,
Tuscaloosa_tofrom_ColumbusMS,TuscaloosaAL,ColumbusMS,59,IT,
Springfield_tofrom_Franklin,SpringfieldTN,NashvilleTN,29,IT,
Franklin_tofrom_Nashville,FranklinTN,NashvilleTN,22,IT,
Chattanooga_tofrom_Atlanta_on_I75S,ChattanoogaTN,AtlantaGA,118,IT,
Franklin_tofrom_Huntsville_on_I65S,FranklinTN,HuntsvilleAL,95,IT,
Atlanta_tofrom_Athens_on_I85N,AtlantaGA,AthensGA,73,IT,
Macon_tofrom_Montrose,MaconGA,MontroseGA,38,IT,
Montrose_tofrom_Savannah_on_I16E,MontroseGA,SavannahGA,130,IT,
Savannah_tofrom_Jacksonville_on_I16E,SavannahGA,JacksonvilleFL,139,IT,
Jacksonville_tofrom_Orlando_on_I95S,JacksonvilleFL,OrlandoFL,141,IT,
Orlando_tofrom_WestPalmBeach_on_FL704E,OrlandoFL,WestPalmBeachFL,170,IT,
WestPalmBeach_tofrom_Miami_on_I95S,WestPalmBeachFL,MiamiFL,71.6,IT,
Miami_tofrom_FortMyers_on_I75N,MiamiFL,FortMyersFL,157,IT,
FortMyers_tofrom_Tampa_on_I75N,FortMyersFL,TampaFL,127,IT,
Tampa_tofrom_Gainesville_on_I75N,TampaFL,GainesvilleFL,130,IT,
Gainesville_tofrom_Tallahassee_on_I75N,GainesvilleFL,TallahasseeFL,150,IT,
Tallahassee_tofrom_Macon_on_I75N,TallahasseeFL,MaconGA,185,IT,
Macon_tofrom_Atlanta_on_I75N,MaconGA,AtlantaGA,83.3,IT,
BloomingtonIN_tofrom_IndianapolisIN,BloomingtonIN,IndianapolisIN,51,IT,
ManchesterTN_tofrom_MurfreesboroTN,ManchesterTN,MurfreesboroTN,33,IT,
KingsBayFL_tofrom_TampaFL,KingsBayFL,TampaFL,81,IT,
KingsBayFL_tofrom_OrlandaFL,KingsBayFL,OrlandoFL,95,IT,
TallahasseeFL_tofrom_KingsBayFL,TallahasseeFL,KingsBayFL,171,IT,
MartinTN_tofrom_ClarksvilleTN,MartinTN,ClarksvilleTN,95,IT,
CrestviewFL_tofrom_BlountstownFL,CrestviewFL,BlountstownFL,113,IT,
PensacolaFL_tofrom_CrestviewFL,PensacolaFL,CrestviewFL,53,IT,
PensacolaFL_tofrom_BlountstownFL,PensacolaFL,BlountstownFL,161,IT,
Murfreesboro_tofrom_Nashville_on_I24E,MurfreesboroTN,NashvilleTN,35,IT,
McMinnville_tofrom_Murfreesboro,McMinnvilleTN,MurfreesboroTN,40,IT,
McMinnville_tofrom_Chattanooga_on_I24E,McMinnvilleTN,ChattanoogaTN,74,IT,
Athens_tofrom_Chattanooga_on_I75N,AthensGA,ChattanoogaTN,176,IT,
Atlanta_tofrom_Montgomery_on_I85S,AtlantaGA,MontgomeryAL,161,IT,
Montgomery_tofrom_Birmingham_on_I65S,MontgomeryAL,BirminghamAL,90,IT,
Mobile_tofrom_Montgomery_on_I65S,MobileAL,MontgomeryAL,168,IT,
PanamaCity_tofrom_Pensacola,PanamaCityFL,PensacolaFL,138,IT,
Pensacola_tofrom_Mobile,PensacolaFL,MobileAL,59,IT,
Dothan_tofrom_PanamaCity_on_FL-77S,DothanAL,PanamaCityFL,82,IT,
Montgomery_tofrom_Dothan_on_US-231N,MontgomeryAL,DothanAL,108,IT,
Dothan_tofrom_Tallahassee_on_I10E,DothanAL,TallahasseeFL,103,IT,
AshlandCityTN_tofrom_NashvilleTN,AshlandCityTN,NashvilleTN,23,IT,
AshlandCityTN_tofrom_WhiteBluffTN,AshlandCityTN,WhiteBluffTN,15,IT,
WhiteBluffTN_tofrom_FranklinTN,WhiteBluffTN,FranklinTN,23,IT,
FranklinTN_tofrom_MurfreesboroTN,FranklinTN,MurfreesboroTN,38,IT,
Elizabethtown_tofrom_Campbellsville_on_KY-61N,ElizabethtownKY,CampbellsvilleKY,50,IT,
Campbellsville_tofrom_Somerset_on_KY-70E,CampbellsvilleKY,SomersetKY,66,IT,
Somerset_tofrom_Glasgow_on_Cumberland Pkwy,SomersetKY,GlasgowKY,78,IT,
Glasgow_tofrom_Nashville_on_I-65S,GlasgowKY,NashvilleTN,99,IT,
LittleRock_tofrom_Memphis_on_I40,MemphisTN,LittleRockAR,137,IT,
NewBoston_tofrom_LittleRock_on_I30,LittleRockAR,NewBostonTX,164,IT,
Dallas_tofrom_NewBoston_on_I30,NewBostonTX,DallasTX,156,IT,
StLouis_tofrom_Metropolis_on_I57_and_I64,StLouisMO,MetropolisIL,167,IT,
Colombia_tofrom_St.Louis_on_I64_and_I70,ColumbiaMO,StLouisMO,125,IT,
KansasCity_tofrom_Columbia_on_I70,KansasCityMO,ColumbiaMO,125,IT,
SiouxFalls_tofrom_Omaha_on_I29N,SiouxFallsSD,OmahaNE,181,IT,
Omaha_tofrom_KansasCity_on_I29N,OmahaNE,KansasCityMO,185,IT,
Vivian_tofrom_SiouxFallsSD_on_I29N,VivianSD,SiouxFallsSD,190,IT,
Sturgis_tofrom_Vivian_on_I90W,SturgisSD,VivianSD,184,IT,
LameDeer_tofrom_Sturgis_on_US-212W,LameDeerMT,SturgisSD,193,IT,
BigTimber_tofrom_LameDeer_on_I90W,BigTimberMT,LameDeerMT,185,IT,
DeerLodge_tofrom_BigTimber_on_I90W,DeerLodgeMT,BigTimberMT,182,IT,
Mullan_tofrom_DeerLodge_on_I90W,MullanID,DeerLodgeMT,191,IT,
MosesLake_tofrom_Mullan_on_I90W,MosesLakeWA,MullanID,190,IT,
Seattle_tofrom_MosesLake_on_I90W,SeattleWA,MosesLakeWA,177,IT,
Elizabethtown_tofrom_Nashville_on_I65N,ElizabethtownKY,NashvilleTN,134,IT,
Metropolis_tofrom_Elizabethtown_on_WesternKentuckyParkway,MetropolisIL,ElizabethtownKY,185,IT,
LosAngelesCA_tofrom_SantaBarbraCA_on_US-101N,LosAngelesCA,SantaBarbraCA,94.7,IT,
SanJose_tofrom_SanFrancisco_on_US-101N,SanJoseCA,SanFranciscoCA,48.5,IT,
LosAngelesCA_tofrom_IrvineCA_on_I-5S,LosAngelesCA,IrvineCA,40.2,IT,
Atlanta_tofrom_Augusta,AtlantaGA,AugustaGA,145,IT,
Charlotte_tofrom_Augusta,CharlotteNC,AugustaGA,164,IT,
Charlotte_tofrom_Raleigh,CharlotteNC,RaleighNC,166,IT,
Dora_tofrom_Amarillo_on_Route_60,DoraNM,AmarilloTX,140,IT,
Dora_tofrom_Roswell_on_Route_70,RoswellNM,DoraNM,86,IT,
Dora_tofrom_Carlsbad_on_Route_62,DoraNM,CarlsbadNM,144,IT,
Harrisonburg_tofrom_Baltimore_on_I66,HarrisonburgVA,BaltimoreMD,169,IT,
Harrisonburg_tofrom_Blacksburg_on_I81,HarrisonburgVA,BlacksburgVA,139,IT,
DuluthGA_tofrom_AthensGA,DuluthGA,AthensGA,51,IT,
DuluthGA_tofrom_AtlantaGA,DuluthGA,AtlantaGA,29,IT,
DuluthGA_tofrom_ChattanoogaTN,DuluthGA,ChattanoogaTN,122,IT,`
ChattanoogaTN_tofrom_MurfreesboroTN,ChattanoogaTN,MurfreesboroTN,102,IT,
GadsenAL_tofrom_AtlantaGA,GadsenAL,AtlantaGA,118,IT,
CookevilleTN_tofrom_FayettevilleTN,CookevilleTN,FayettevilleTN,109,IT,
FranklinTN_tofrom_FayettevilleTN,FranklinTN,FayettevilleTN,61,IT,
FayettevilleTN_tofrom_HuntsvilleAL,FayettevilleTN,HuntsvilleAL,31,IT,
AthensAL_tofrom_HuntsvilleAL,AthensAL,HuntsvilleAL,34,IT,
Dallas_tofrom_Austin,DallasTX,AustinTX,197,IT,
ArtesiaWells_tofrom_Monterrey,ArtesiaWellsTX,MonterreyNLMexico,194,IT,
MemphisTN_tofrom_ShilohTN,MemphisTN,ShilohTN,115,IT,
ColumbiaSC_tofrom_FayettevilleNC,ColumbiaSC,FayettevilleNC,166,IT,
SanDiego_tofrom_Yuma,SanDiegoCA,YumaAZ,172,IT,
Tucson_tofrom_Yuma,TucsonAZ,YumaAZ,236,IT,
Yuma_tofrom_Kingman,KingmanAZ,YumaAZ,215,IT,
